iter	F1	Logloss
193	0.7186718596	0.3975609332
194	0.7177847899	0.3973849745
195	0.7184444286	0.3973132494
196	0.7188537073	0.39724484
197	0.7192851256	0.3971914747
198	0.7186265876	0.3970722924
199	0.7192851256	0.3969791809
200	0.7192851256	0.3969392267
201	0.7199197924	0.3969381007
202	0.7203502808	0.3968864294
203	0.7193754485	0.3967629417
204	0.7194656252	0.3965801659
205	0.7194656252	0.3965690273
206	0.7196926371	0.3963124954
207	0.7191253756	0.3961720015
208	0.7194890143	0.3961064306
209	0.7179680222	0.3961089678
210	0.7181949385	0.3958824017
211	0.7189444102	0.3956573533
212	0.7188309101	0.3955755277
213	0.7204396225	0.3953899102
214	0.7195791133	0.3952805165
215	0.7201470911	0.3949329967
216	0.7197162534	0.3948408319
217	0.7198299269	0.3947829638
218	0.7197162534	0.3947374718
219	0.7197162534	0.3947041268
220	0.7193754485	0.394623834
221	0.7190579461	0.3945622715
222	0.7189215437	0.3944134144
223	0.7191484245	0.3942210327
224	0.7193289423	0.3940090494
225	0.7191253756	0.3938618889
226	0.7196690665	0.3937748951
227	0.719555656	0.3936819949
228	0.7209335187	0.3936285316
229	0.7214505046	0.3935689005
230	0.7207955487	0.3934464091
231	0.7209973672	0.3933211206
232	0.7213121132	0.3932753228
233	0.7209973672	0.3931063324
234	0.7211105982	0.3929309214
235	0.72162655	0.3927085631
236	0.7212488535	0.3924957878
237	0.7210469403	0.3924136868
238	0.720593468	0.3922117343
239	0.7195322441	0.3920258871
240	0.7197352816	0.391904844
241	0.7198485371	0.3918730907
242	0.7208201328	0.3917219905
243	0.7208201328	0.3915629291
244	0.7208447644	0.391466192
245	0.7212738906	0.3913125042
246	0.7207313009	0.3912694191
247	0.721904212	0.3911313165
248	0.722332417	0.3910446365
249	0.7227603352	0.3909847076
250	0.7225332932	0.3909037171
251	0.7234152098	0.3906376907
252	0.7233015705	0.390544827
253	0.7233015705	0.3902763813
254	0.723728945	0.3901076484
255	0.7242697308	0.3899741632
256	0.7241560334	0.3898563395
257	0.7242976443	0.3897133084
258	0.7240700574	0.3894558879
259	0.7238701245	0.3894180362
260	0.7238701245	0.3893657878
261	0.7237563422	0.3891701739
262	0.723556107	0.389107784
263	0.723556107	0.3890242948
264	0.7237563422	0.3890159103
265	0.7239839426	0.3889550078
266	0.7242976443	0.3888309232
267	0.724183833	0.3886565193
268	0.7248387539	0.3885616924
269	0.7245253744	0.3884522805
270	0.7248387539	0.3883440793
271	0.7264010367	0.3882391926
272	0.7265149139	0.3881829008
273	0.7266288268	0.3881213448
274	0.7271682683	0.388042406
275	0.7269707801	0.3879720775
276	0.7271682683	0.3878041645
277	0.7271682683	0.3877714874
